iter	Passed	Remaining
0	16	16607
1	30	15125
2	42	14268
3	55	13791
4	66	13314
5	76	12719
6	81	11604
7	90	11259
8	101	11219
9	111	11060
10	122	11029
11	134	11071
12	151	11525
13	160	11311
14	168	11051
15	175	10816
16	183	10596
17	190	10404
18	197	10204
19	204	10023
20	212	9888
21	219	9773
22	227	9664
23	235	9577
24	243	9502
25	251	9407
26	258	9321
27	266	9240
28	273	9159
29	281	9087
30	288	9025
31	295	8944
32	302	8855
33	309	8795
34	317	8754
35	325	8703
36	332	8658
37	340	8619
38	348	8580
39	358	8606
40	366	8571
41	374	8532
42	381	8495
43	389	8459
44	397	8432
45	407	8442
46	417	8468
47	424	8411
48	432	8393
49	439	8348
50	447	8318
51	454	8290
52	462	8261
53	470	8234
54	477	8204
55	485	8182
56	492	8152
57	500	8121
58	507	8089
59	513	8047
60	520	8016
61	528	7990
62	535	7969
63	543	7949
64	551	7926
65	559	7913
66	566	7895
67	574	7870
68	581	7845
69	588	7819
70	595	7786
71	602	7768
72	610	7752
73	619	7753
74	630	7771
75	638	7768
76	646	7754
77	655	7748
78	662	7727
79	669	7701
80	676	7676
81	683	7655
82	692	7649
83	699	7632
84	707	7614
85	714	7597
86	722	7579
87	729	7562
88	736	7542
89	744	7524
90	750	7497
91	757	7475
92	765	7461
93	772	7447
94	780	7435
95	788	7421
96	795	7407
97	803	7393
98	811	7381
99	820	7387
100	828	7373
101	835	7357
102	842	7340
103	850	7323
104	856	7304
105	863	7285
106	871	7272
107	879	7260
108	886	7247
109	894	7237
110	901	7222
111	909	7211
112	916	7197
113	924	7182
114	931	7168
115	938	7149
116	945	7133
117	952	7121
118	960	7108
119	967	7096
120	976	7090
121	983	7080
122	991	7069
123	999	7058
124	1006	7046
125	1014	7037
126	1021	7024
127	1029	7016
128	1036	6999
129	1043	6982
130	1050	6969
131	1058	6959
132	1066	6950
133	1074	6941
134	1081	6930
135	1089	6922
136	1097	6915
137	1109	6927
138	1118	6927
139	1129	6936
140	1137	6931
141	1147	6934
142	1155	6927
143	1164	6924
144	1175	6932
145	1233	7216
146	1249	7248
147	1278	7357
148	1309	7481
149	1325	7510
150	1335	7509
151	1370	7645
152	1379	7636
153	1388	7626
154	1397	7616
155	1405	7606
156	1413	7588
